num_files	N
639	81459
640	81056
641	81497
642	81302
643	81802
644	81836
645	81063
646	81536
647	81131
648	81607
649	81794
650	81300
651	81449
652	81859
653	82254
654	81456
655	82124
656	81529
657	81771
658	81557
659	81523
660	82237
661	82611
662	82470
663	81530
664	82320
665	82398
666	82553
667	82316
668	82083
669	81050
670	82744
671	82700
672	82465
673	83024
674	82495
675	82509
676	82702
677	82363
678	82424
679	82737
680	81810
681	82710
682	82703
683	83506
684	83495
685	82930
686	83469
687	82647
688	83625
689	83743
690	82795
691	82957
692	83276
693	83625
694	82912
695	83308
696	83951
697	83548
698	82464
699	83473
700	83282
701	83179
702	84310
703	84225
704	83183
705	83712
706	84198
707	83702
708	84011
709	84059
710	83949
711	84589
712	83455
713	84144
714	84377
715	83331
716	83876
717	84068
718	84046
719	84514
720	83839
721	84334
722	84502
723	84899
724	84328
725	84934
726	84403
727	84435
728	84783
729	84436
730	84371
731	85411
732	84635
733	84104
734	84801
735	84769
736	84092
737	84438
738	84840
739	84881
740	84694
741	84538
742	85251
743	85317
744	84414
745	84705
746	84452
747	84942
748	85256
749	84800
750	85072
751	85411
752	84903
753	85144
754	84937
755	85556
756	85536
757	85829
758	85062
759	85943
760	85451
761	85908
762	85326
763	85651
764	85950
765	85736
766	85529
767	85928
768	86043
769	86110
770	85429
771	86041
772	85380
773	86140
774	85379
775	86491
776	85816
777	85906
778	85463
779	85454
780	86513
781	86152
782	86183
783	86298
784	85577
785	86428
786	86065
787	86187
788	86276
789	86666
790	86363
791	86343
792	86128
793	86133
794	86759
795	86264
796	85730
797	86974
798	86395
799	86310
800	86027
801	86350
802	86643
803	86673
804	86311
805	87054
806	87230
807	86890
808	86942
809	86608
810	87374
811	87341
812	86801
813	86695
814	86241
815	87036
816	86765
817	86464
818	86124
819	87120
820	87174
821	86948
822	86970
823	86582
824	86686
825	87436
826	87231
827	86968
828	86893
829	87668
830	87330
831	87578
832	87459
833	87416
834	87597
835	86641
836	87955
837	87946
838	88080
839	87705
840	88021
841	88074
842	87530
843	87915
844	88026
845	88026
846	87404
847	88035
848	87838
849	87440
850	87815
851	87587
852	87446
853	87983
854	88089
855	87710
856	88247
857	88103
858	87941
859	87796
860	88413
861	88415
862	88085
863	88258
864	88170
865	88156
866	88373
867	88391
868	88360
869	88045
870	88116
871	88267
872	88568
873	88337
874	88074
875	87997
876	87586
877	88880
878	87879
879	88608
880	88654
881	88498
