num_files	year	N
37	2016	24
37	2017	37
37	2018	26
37	2019	22
37	2020	54
37	2021	110
37	2022	46
37	2023	4
37	2024	50
38	2014	124
38	2015	2
38	2016	22
38	2017	33
38	2018	24
38	2019	19
38	2020	54
38	2021	107
38	2022	49
38	2023	5
38	2024	46
39	2014	118
39	2015	2
39	2016	26
39	2017	34
39	2018	23
39	2019	21
39	2020	45
39	2021	109
39	2022	42
39	2023	4
39	2024	49
40	2014	128
40	2015	2
40	2016	24
40	2017	35
40	2018	25
40	2019	20
40	2020	48
40	2021	110
40	2022	47
40	2023	5
40	2024	53
41	2014	123
41	2015	2
41	2016	23
41	2017	36
41	2018	25
41	2019	22
41	2020	47
41	2021	97
41	2022	41
41	2023	4
41	2024	57
42	2014	122
42	2015	2
42	2016	25
42	2017	37
42	2018	24
42	2019	20
42	2020	48
42	2021	114
42	2022	42
42	2023	5
42	2024	54
43	2014	123
43	2015	2
43	2016	23
43	2017	35
43	2018	25
43	2019	23
43	2020	51
43	2021	111
43	2022	51
43	2023	5
43	2024	53
44	2014	125
44	2015	2
44	2016	24
44	2017	37
44	2018	25
44	2019	22
44	2020	52
44	2021	115
44	2022	43
44	2023	5
44	2024	49
45	2014	129
45	2015	2
45	2016	23
45	2017	35
45	2018	25
45	2019	22
45	2020	45
45	2021	109
45	2022	46
45	2023	4
45	2024	51
46	2014	125
46	2015	2
46	2016	26
46	2017	38
46	2018	23
46	2019	21
46	2020	50
46	2021	119
46	2022	43
46	2023	4
46	2024	53
47	2014	126
47	2015	2
47	2016	22
47	2017	38
47	2018	23
47	2019	22
47	2020	52
47	2021	114
47	2022	43
47	2023	4
47	2024	53
48	2014	120
48	2015	2
48	2016	26
48	2017	36
48	2018	24
48	2019	21
48	2020	44
48	2021	109
48	2022	45
48	2023	5
48	2024	49
49	2014	133
49	2015	2
49	2016	24
49	2017	35
49	2018	24
49	2019	20
49	2020	51
49	2021	112
49	2022	43
49	2023	5
49	2024	49
50	2014	127
50	2015	2
50	2016	24
50	2017	36
50	2018	23
50	2019	24
50	2020	49
50	2021	115
50	2022	45
50	2023	5
50	2024	53
51	2014	121
51	2015	2
51	2016	26
51	2017	40
51	2018	25
51	2019	24
51	2020	53
51	2021	117
51	2022	44
51	2023	5
51	2024	55
52	2014	134
52	2015	2
52	2016	26
52	2017	38
52	2018	24
52	2019	23
52	2020	51
52	2021	115
52	2022	45
52	2023	5
52	2024	56
53	2014	123
53	2015	2
53	2016	27
53	2017	37
53	2018	26
53	2019	22
53	2020	52
53	2021	110
53	2022	44
53	2023	5
53	2024	54
54	2014	116
54	2015	2
54	2016	23
54	2017	36
54	2018	25
54	2019	24
54	2020	47
54	2021	112
54	2022	44
54	2023	5
54	2024	53
55	2014	117
55	2015	2
55	2016	25
55	2017	35
55	2018	24
55	2019	22
55	2020	48
55	2021	107
55	2022	45
55	2023	5
55	2024	53
56	2014	121
56	2015	2
56	2016	23
56	2017	39
56	2018	26
56	2019	21
56	2020	50
56	2021	121
56	2022	47
56	2023	4
56	2024	49
57	2014	127
57	2015	2
57	2016	25
57	2017	36
57	2018	24
57	2019	24
57	2020	53
57	2021	115
57	2022	45
57	2023	5
57	2024	54
58	2014	118
58	2015	2
58	2016	23
58	2017	35
58	2018	25
58	2019	20
58	2020	45
58	2021	105
58	2022	44
58	2023	5
58	2024	54
59	2014	130
59	2015	2
59	2016	24
59	2017	40
59	2018	25
59	2019	26
59	2020	56
59	2021	121
59	2022	46
59	2023	5
59	2024	54
60	2014	127
60	2015	2
60	2016	26
60	2017	36
60	2018	24
60	2019	22
60	2020	50
60	2021	114
60	2022	45
60	2023	5
60	2024	53
61	2014	120
61	2015	2
61	2016	24
61	2017	36
61	2018	25
61	2019	21
61	2020	52
61	2021	119
61	2022	45
61	2023	5
61	2024	52
62	2014	129
62	2015	2
62	2016	28
62	2017	39
62	2018	24
62	2019	23
62	2020	50
62	2021	121
62	2022	50
62	2023	5
62	2024	53
63	2014	134
63	2015	2
63	2016	24
63	2017	36
63	2018	24
63	2019	22
63	2020	49
63	2021	111
63	2022	48
63	2023	5
63	2024	56
64	2014	134
64	2015	2
64	2016	27
64	2017	40
64	2018	26
64	2019	22
64	2020	54
64	2021	115
64	2022	44
64	2023	5
64	2024	57
65	2014	136
65	2015	2
65	2016	28
65	2017	37
65	2018	25
65	2019	25
65	2020	52
65	2021	120
65	2022	49
65	2023	4
65	2024	60
66	2014	130
66	2015	2
66	2016	25
66	2017	36
66	2018	24
66	2019	22
66	2020	51
66	2021	114
66	2022	49
66	2023	5
66	2024	54
67	2014	133
67	2015	2
67	2016	27
67	2017	38
67	2018	26
67	2019	22
67	2020	50
67	2021	118
67	2022	47
67	2023	4
67	2024	58
68	2014	132
68	2015	2
68	2016	25
68	2017	40
68	2018	24
68	2019	21
68	2020	54
68	2021	115
68	2022	46
68	2023	5
68	2024	51
69	2014	131
69	2015	2
69	2016	25
69	2017	40
69	2018	26
69	2019	24
69	2020	53
69	2021	113
69	2022	46
69	2023	5
69	2024	56
70	2014	132
70	2015	2
70	2016	26
70	2017	39
70	2018	25
70	2019	23
70	2020	55
70	2021	124
70	2022	43
70	2023	5
70	2024	54
71	2014	129
71	2015	2
71	2016	25
71	2017	39
71	2018	25
71	2019	22
71	2020	52
71	2021	115
71	2022	50
71	2023	5
71	2024	55
72	2014	134
72	2015	2
72	2016	26
72	2017	36
72	2018	24
72	2019	24
72	2020	56
72	2021	120
72	2022	47
72	2023	5
72	2024	53
73	2014	129
73	2015	2
73	2016	25
73	2017	37
73	2018	26
73	2019	25
73	2020	50
73	2021	113
73	2022	49
73	2023	4
73	2024	58
74	2014	131
74	2015	2
74	2016	24
74	2017	39
74	2018	24
74	2019	25
74	2020	58
74	2021	114
74	2022	48
74	2023	5
74	2024	56
75	2014	135
75	2015	2
75	2016	24
75	2017	42
75	2018	26
75	2019	22
75	2020	54
75	2021	121
75	2022	50
75	2023	5
75	2024	57
76	2014	127
76	2015	2
76	2016	24
76	2017	35
76	2018	25
76	2019	24
76	2020	53
76	2021	118
76	2022	48
76	2023	5
76	2024	54
77	2014	131
77	2015	2
77	2016	22
77	2017	37
77	2018	25
77	2019	24
77	2020	48
77	2021	121
77	2022	51
77	2023	5
77	2024	55
78	2014	132
78	2015	2
78	2016	26
78	2017	36
78	2018	25
78	2019	21
78	2020	50
78	2021	111
78	2022	48
78	2023	5
78	2024	58
79	2014	136
79	2015	2
79	2016	25
79	2017	40
79	2018	24
79	2019	26
79	2020	58
79	2021	124
79	2022	50
79	2023	5
79	2024	59
80	2014	132
80	2015	2
80	2016	24
80	2017	37
80	2018	25
80	2019	27
80	2020	55
80	2021	117
80	2022	48
80	2023	4
80	2024	55
81	2014	129
81	2015	2
81	2016	24
81	2017	38
81	2018	25
81	2019	23
81	2020	55
81	2021	116
81	2022	50
81	2023	5
81	2024	57
82	2014	136
82	2015	2
82	2016	23
82	2017	39
82	2018	25
82	2019	24
82	2020	51
82	2021	116
82	2022	45
82	2023	5
82	2024	53
83	2014	135
83	2015	2
83	2016	23
83	2017	35
83	2018	25
83	2019	24
83	2020	55
83	2021	121
83	2022	42
83	2023	5
83	2024	55
84	2014	138
84	2015	2
84	2016	24
84	2017	37
84	2018	25
84	2019	23
84	2020	52
84	2021	121
84	2022	54
84	2023	5
84	2024	62
85	2014	129
85	2015	2
85	2016	28
85	2017	37
85	2018	24
85	2019	22
85	2020	52
85	2021	115
85	2022	48
85	2023	5
85	2024	54
86	2014	133
86	2015	2
86	2016	26
86	2017	37
86	2018	25
86	2019	21
86	2020	48
86	2021	120
86	2022	48
86	2023	5
86	2024	59
87	2014	136
87	2015	2
87	2016	27
87	2017	40
87	2018	25
87	2019	25
87	2020	57
87	2021	125
87	2022	52
87	2023	5
87	2024	58
88	2014	136
88	2015	2
88	2016	26
88	2017	43
88	2018	26
88	2019	24
88	2020	52
88	2021	122
88	2022	50
88	2023	5
88	2024	58
89	2014	139
89	2015	2
89	2016	25
89	2017	36
89	2018	25
89	2019	22
89	2020	56
89	2021	121
89	2022	52
89	2023	5
89	2024	62
90	2014	139
90	2015	2
90	2016	27
90	2017	38
90	2018	25
90	2019	23
90	2020	54
90	2021	122
90	2022	49
90	2023	5
90	2024	56
91	2014	142
91	2015	2
91	2016	29
91	2017	41
91	2018	26
91	2019	24
91	2020	58
91	2021	127
91	2022	49
91	2023	5
91	2024	57
92	2014	136
92	2015	2
92	2016	25
92	2017	35
92	2018	25
92	2019	24
92	2020	60
92	2021	124
92	2022	52
92	2023	5
92	2024	60
93	2014	138
93	2015	2
93	2016	26
93	2017	39
93	2018	24
93	2019	23
93	2020	53
93	2021	120
93	2022	48
93	2023	5
93	2024	62
94	2014	140
94	2015	2
94	2016	28
94	2017	37
94	2018	25
94	2019	23
94	2020	55
94	2021	122
94	2022	51
94	2023	5
94	2024	58
95	2014	137
95	2015	2
95	2016	26
95	2017	39
95	2018	25
95	2019	24
95	2020	58
95	2021	118
95	2022	53
95	2023	5
95	2024	58
96	2014	137
96	2015	2
96	2016	28
96	2017	41
96	2018	26
96	2019	21
96	2020	55
96	2021	119
96	2022	52
96	2023	5
96	2024	60
97	2014	134
97	2015	2
97	2016	24
97	2017	37
97	2018	26
97	2019	23
97	2020	57
97	2021	122
97	2022	49
97	2023	5
97	2024	59
98	2014	135
98	2015	2
98	2016	26
98	2017	40
98	2018	25
98	2019	23
98	2020	53
98	2021	127
98	2022	45
98	2023	5
98	2024	61
99	2014	141
99	2015	2
99	2016	29
99	2017	41
99	2018	27
99	2019	25
99	2020	57
99	2021	129
99	2022	52
99	2023	5
99	2024	61
100	2014	136
100	2015	2
100	2016	25
100	2017	39
100	2018	26
100	2019	23
100	2020	50
100	2021	129
100	2022	45
100	2023	5
100	2024	60
101	2014	136
101	2015	2
101	2016	28
101	2017	38
101	2018	24
101	2019	22
101	2020	60
101	2021	122
101	2022	53
101	2023	5
101	2024	61
102	2014	136
102	2015	2
102	2016	25
102	2017	38
102	2018	26
102	2019	24
102	2020	60
102	2021	126
102	2022	49
102	2023	5
102	2024	56
103	2014	144
103	2015	2
103	2016	24
103	2017	40
103	2018	25
103	2019	24
103	2020	59
103	2021	122
103	2022	51
103	2023	5
103	2024	57
104	2014	140
104	2015	2
104	2016	27
104	2017	37
104	2018	26
104	2019	24
104	2020	51
104	2021	124
104	2022	54
104	2023	5
104	2024	59
105	2014	138
105	2015	2
105	2016	25
105	2017	38
105	2018	25
105	2019	23
105	2020	53
105	2021	125
105	2022	52
105	2023	5
105	2024	58
106	2014	134
106	2015	2
106	2016	27
106	2017	39
106	2018	25
106	2019	26
106	2020	51
106	2021	122
106	2022	54
106	2023	5
106	2024	56
107	2014	136
107	2015	2
107	2016	26
107	2017	37
107	2018	25
107	2019	25
107	2020	53
107	2021	123
107	2022	52
107	2023	5
107	2024	57
108	2014	137
108	2015	2
108	2016	25
108	2017	39
108	2018	26
108	2019	23
108	2020	53
108	2021	124
108	2022	53
108	2023	5
108	2024	59
109	2014	143
109	2015	2
109	2016	26
109	2017	39
109	2018	25
109	2019	27
109	2020	59
109	2021	122
109	2022	48
109	2023	5
109	2024	61
110	2014	139
110	2015	2
110	2016	26
110	2017	38
110	2018	25
110	2019	25
110	2020	55
110	2021	127
110	2022	51
110	2023	5
110	2024	60
111	2014	139
111	2015	2
