num_files	N
639	93723
640	92995
641	94068
642	93677
643	93948
644	94283
645	93383
646	93904
647	94159
648	94532
649	94227
650	93766
651	94040
652	93729
653	94263
654	94139
655	94300
656	94106
657	94514
658	93649
659	94588
660	94361
661	94595
662	94279
663	94543
664	94297
665	94792
666	94654
667	94590
668	93492
669	94550
670	94437
671	94505
672	94541
673	94815
674	94366
675	94428
676	93727
677	94278
678	94457
679	94004
680	93564
681	94610
682	94754
683	94728
684	94891
685	94793
686	94826
687	94323
688	94488
689	94512
690	94355
691	94545
692	94539
693	94568
694	95055
695	94772
696	94946
697	94879
698	94385
699	94999
700	94422
701	94962
702	94386
703	94563
704	94746
705	95034
706	94639
707	94793
708	94983
709	94283
710	95108
711	94333
712	95156
713	94886
714	94946
715	94784
716	94326
717	94406
718	94887
719	94985
720	95072
721	94772
722	94804
723	94882
724	94899
725	95300
726	95192
727	95200
728	95042
729	94806
730	95018
731	94951
732	95334
733	95470
734	95180
735	94682
736	95422
737	95420
738	95265
739	95348
740	95439
741	95338
742	95068
743	95443
744	94165
745	95510
746	95385
747	95343
748	95460
749	95517
750	94971
751	95456
752	95467
753	95534
754	95496
755	95014
756	95407
757	95064
758	95520
759	95346
760	95400
761	95429
762	95535
763	95428
764	95615
765	95556
766	95138
767	94686
768	95524
769	95595
770	95633
771	95544
772	95500
773	95615
774	95644
775	95598
776	95606
777	95654
778	95684
779	95198
780	95651
781	95647
782	95671
783	95652
784	95583
785	95678
786	95190
787	95666
788	95683
789	95582
790	95710
791	95512
792	95716
793	94787
794	95704
795	95733
796	95183
797	95655
798	95658
799	95721
800	95313
801	95755
802	95756
803	95709
804	95741
805	95759
806	95757
807	95752
808	95748
809	95734
810	95762
811	95763
812	95763
813	95763
