id	fragment_scans	mz	rt	height	has_MSMS_scan
9294	112	165.11349	14.6575	3902000	TRUE
9295	83	102.07423	14.6571	4826000	TRUE
9296	126	101.07088	14.6571	102100000	TRUE
9297	28	141.98336	14.6497	37600000	TRUE
9298	7	136.08694	14.6589	1047000	TRUE
9299	21	138.99535	14.655	30230000	TRUE
9300	10	141.95861	14.6543	38340000	TRUE
9301	0	308.89041	14.6503	3274000	FALSE
9302	8	124.08946	14.6593	2428000	TRUE
9303	3	127.08658	14.6592	1072000	TRUE
9304	1	140.99575	14.647	18320000	TRUE
9305	0	143.98093	14.647	5159000	FALSE
9306	0	188.97856	14.6485	7339000	FALSE
9307	0	199.00124	14.6493	3938000	FALSE
9308	1	142.99119	14.6481	7156000	TRUE
9309	2	181.0145	14.6508	7484000	TRUE
9310	0	182.02231	14.6489	4319000	FALSE
9311	0	185.9889	14.6489	6787000	FALSE
9312	0	226.01216	14.6516	10300000	FALSE
9313	4	180.98985	14.6559	7695000	TRUE
9314	17	125.09025	14.659	8734000	TRUE
9315	58	141.10226	14.6594	2712000	TRUE
9316	1	374.88236	14.6507	3384000	TRUE
9317	4	366.86493	14.6709	1698000	TRUE
9318	194	124.0869	14.659	143900000	TRUE
9319	9	173.07845	14.658	1109000	TRUE
9320	19	183.9885	14.655	6753000	TRUE
9321	3	148.08694	14.6619	678800	TRUE
9322	1	109.07598	14.6613	1096000	TRUE
9323	9	272.15065	14.667	1059000	TRUE
9324	0	115.08655	14.6616	1003000	FALSE
9325	6	157.13356	14.6597	1432000	TRUE
9326	55	110.07122	14.6598	3044000	TRUE
9327	5	217.10468	14.6585	1171000	TRUE
9328	17	165.10226	14.6642	736800	TRUE
9329	2	208.10809	14.6664	550600	TRUE
9330	14	150.10257	14.6631	950300	TRUE
9331	1	152.11825	14.665	482200	TRUE
9332	0	166.10872	14.6635	666800	FALSE
9333	27	138.12774	14.6664	735900	TRUE
9334	56	138.10258	14.6627	1238000	TRUE
9335	4	139.9633	14.6548	2358000	TRUE
9336	3	168.91947	14.6529	2590000	TRUE
9337	9	183.98566	14.6548	3040000	TRUE
9338	4	209.94606	14.6556	8336000	TRUE
9339	3	224.01173	14.6577	2454000	TRUE
9340	4	287.88897	14.6532	12700000	TRUE
9341	5	328.91551	14.6568	20230000	TRUE
9342	1	355.87639	14.6586	12050000	TRUE
9343	5	200.99596	14.6571	2848000	TRUE
9344	39	213.1135	14.6694	666500	TRUE
9345	1	442.86983	14.6527	1808000	TRUE
9346	0	444.86543	14.6529	715400	FALSE
9347	225	111.09162	14.6655	2654000	TRUE
9348	2	189.11343	14.6678	431900	TRUE
9349	0	510.85753	14.653	814500	FALSE
9350	6	127.12296	14.6694	654200	TRUE
9351	3	284.16193	14.6698	763200	TRUE
9352	192	115.12293	14.6744	1383000	TRUE
9353	0	498.90157	14.6716	1040000	FALSE
9354	1	566.88889	14.677	622500	TRUE
9355	3	272.94459	14.6576	1351000	TRUE
9356	2	294.93914	14.6535	4669000	TRUE
9357	5	430.91408	14.6699	1800000	TRUE
9358	3	226.9516	14.6539	16040000	TRUE
9359	1	518.81225	14.6655	1954000	TRUE
9360	6	362.92663	14.6691	2253000	TRUE
9361	0	576.84451	14.6732	1216000	FALSE
9362	9	508.85703	14.6724	2224000	TRUE
9363	12	247.16661	14.6886	2427000	TRUE
9364	5	440.8695	14.665	4656000	TRUE
9365	18	304.8945	14.6597	18930000	TRUE
9366	1	502.83989	14.688	506900	TRUE
9367	6	372.88206	14.6615	9654000	TRUE
9368	6	450.82475	14.6685	4553000	TRUE
9369	5	356.9096	14.6839	776600	TRUE
9370	4	424.89702	14.6847	877700	TRUE
9371	2	181.03344	14.697	1941000	TRUE
9373	10	162.0087	14.7006	1613000	TRUE
9374	10	288.9221	14.6934	2985000	TRUE
9375	2	179.03524	14.6974	4404000	TRUE
9376	4	206.01747	14.6832	1143000	TRUE
9377	7	204.01927	14.6954	2516000	TRUE
9378	3	110.07122	14.7011	2696000	TRUE
