id	fragment_scans	mz	rt	height	has_MSMS_scan
10736	0	605.53297	9.3467	250400	FALSE
10741	0	684.61435	9.3571	77790	FALSE
10742	0	685.62113	9.357	52020	FALSE
10744	0	511.47225	9.3641	58110	FALSE
10748	0	554.50082	9.3761	504500	FALSE
10749	16	271.2422	9.3645	3811000	TRUE
10750	6	553.49837	9.3661	1198000	TRUE
10754	1	563.50377	9.3749	176900	TRUE
10756	0	573.55558	9.3756	92130	FALSE
10757	0	588.53584	9.3721	173900	FALSE
10758	21	570.54618	9.3791	7355000	TRUE
10759	0	571.54939	9.38	2916000	FALSE
10760	0	570.49958	9.3779	58720	FALSE
10761	0	572.55271	9.3818	575300	FALSE
10762	9	564.53552	9.385	588500	TRUE
10763	0	565.53889	9.3858	225900	FALSE
10764	0	906.25981	9.3808	67290	FALSE
10765	0	553.3364	9.3893	90910	FALSE
10766	0	547.5279	9.3891	62710	FALSE
10767	3	552.33333	9.385	232200	TRUE
10768	0	593.53148	9.3975	1037000	FALSE
10769	2	397.35827	9.3753	309600	TRUE
10773	0	546.52478	9.3952	130000	FALSE
10774	0	907.2611	9.3892	54450	FALSE
10775	0	272.24561	9.3639	782000	FALSE
10776	0	587.52143	9.4073	61050	FALSE
10777	0	586.51751	9.4052	135300	FALSE
10781	0	589.53804	9.3946	72060	FALSE
10785	0	564.50768	9.4304	209200	FALSE
10791	0	813.56823	9.4186	280100	FALSE
10792	0	568.53089	9.4168	680600	FALSE
10793	0	569.53387	9.4163	211900	FALSE
10794	0	673.53804	9.4161	46930	FALSE
10795	0	605.5331	9.4181	256800	FALSE
10798	0	553.53814	9.4198	67680	FALSE
10800	0	586.48949	9.424	66920	FALSE
10801	1	215.17974	9.4048	134200	TRUE
10802	1	588.53581	9.4182	170100	TRUE
10803	0	594.53356	9.4174	215400	FALSE
10804	10	580.53093	9.419	503600	TRUE
10806	11	604.52944	9.4299	624900	TRUE
10807	0	581.53382	9.4234	208000	FALSE
10808	5	563.50376	9.4233	566100	TRUE
10810	10	592.52802	9.4202	2769000	TRUE
10813	0	540.52617	9.4425	202900	FALSE
10815	1	163.1482	9.4237	80350	TRUE
10816	0	189.16384	9.4205	57090	FALSE
10817	0	203.17964	9.4257	43860	FALSE
10818	0	273.24907	9.4195	78970	FALSE
10819	0	527.48271	9.4185	71900	FALSE
10824	7	520.50904	9.4396	915100	TRUE
10825	0	539.52301	9.444	1143000	FALSE
