new_group	annotated_feature	max_area	annotated_feature_f
588	Unknown MS/MS	2117000	Unknown MS/MS
-3653	Unknown MS/MS	702000	Unknown MS/MS
589	Annotated MS/MS	61250000	Annotated MS/MS
590	Unknown MS/MS	632300	Unknown MS/MS
591	Chimeric MS/MS	1776000	Chimeric MS/MS
592	Unknown MS/MS	19550000	Unknown MS/MS
593	Annotated MS/MS	5997000	Annotated MS/MS
594	Annotated MS/MS	10500000	Annotated MS/MS
-3690	Unknown MS/MS	2085000	Unknown MS/MS
596	Annotated MS/MS	2158000	Annotated MS/MS
595	Unknown MS/MS	3494000	Unknown MS/MS
-3697	Unknown MS/MS	1993000	Unknown MS/MS
-3699	Unknown MS/MS	1508000	Unknown MS/MS
-3700	No MS/MS	1010000	No MS/MS
-3701	Unknown MS/MS	761800	Unknown MS/MS
-3702	Annotated MS/MS	4393000	Annotated MS/MS
-3703	Unknown MS/MS	918000	Unknown MS/MS
597	Annotated MS/MS	2891000	Annotated MS/MS
-3711	Annotated MS/MS	984200	Annotated MS/MS
-3713	Unknown MS/MS	903900	Unknown MS/MS
-3714	Unknown MS/MS	1799000	Unknown MS/MS
-3720	Unknown MS/MS	1281000	Unknown MS/MS
599	Unknown MS/MS	1751000	Unknown MS/MS
-3723	Unknown MS/MS	2231000	Unknown MS/MS
-3724	Unknown MS/MS	5741000	Unknown MS/MS
-3725	Chimeric MS/MS	1132000	Chimeric MS/MS
600	No MS/MS	3553000	No MS/MS
-3727	Unknown MS/MS	1416000	Unknown MS/MS
-3735	Unknown MS/MS	2064000	Unknown MS/MS
164	Annotated MS/MS	20430000	Annotated MS/MS
601	Annotated MS/MS	167300000	Annotated MS/MS
-3753	Chimeric MS/MS	1293000	Chimeric MS/MS
-3754	Unknown MS/MS	923400	Unknown MS/MS
602	Annotated MS/MS	10440000	Annotated MS/MS
-3762	Unknown MS/MS	3842000	Unknown MS/MS
603	Unknown MS/MS	1694000	Unknown MS/MS
-3765	Annotated MS/MS	2514000	Annotated MS/MS
-3767	Unknown MS/MS	2082000	Unknown MS/MS
-3769	Unknown MS/MS	2851000	Unknown MS/MS
