new_group	annotated_feature	max_area	annotated_feature_f
101	Unknown MS/MS	2023000	Unknown MS/MS
99	Chimeric MS/MS	31080000	Chimeric MS/MS
484	Annotated MS/MS	4655000	Annotated MS/MS
-2188	Chimeric MS/MS	1758000	Chimeric MS/MS
98	Annotated MS/MS	25420000	Annotated MS/MS
-2214	Chimeric MS/MS	2525000	Chimeric MS/MS
-2231	Unknown MS/MS	3489000	Unknown MS/MS
485	Annotated MS/MS	6499000	Annotated MS/MS
-2239	Unknown MS/MS	30920000	Unknown MS/MS
102	Chimeric MS/MS	3399000	Chimeric MS/MS
-2248	Annotated MS/MS	9610000	Annotated MS/MS
483	Unknown MS/MS	28770000	Unknown MS/MS
-2267	Chimeric MS/MS	1184000	Chimeric MS/MS
-2272	Chimeric MS/MS	2476000	Chimeric MS/MS
104	Unknown MS/MS	9453000	Unknown MS/MS
-2289	Unknown MS/MS	977300	Unknown MS/MS
-2304	Chimeric MS/MS	4995000	Chimeric MS/MS
106	Unknown MS/MS	32910000	Unknown MS/MS
490	Chimeric MS/MS	1925000	Chimeric MS/MS
-2331	Unknown MS/MS	6851000	Unknown MS/MS
-2334	Chimeric MS/MS	2143000	Chimeric MS/MS
-2342	Chimeric MS/MS	1585000	Chimeric MS/MS
105	Chimeric MS/MS	7655000	Chimeric MS/MS
-2358	Unknown MS/MS	13750000	Unknown MS/MS
-2365	Unknown MS/MS	4048000	Unknown MS/MS
-2390	Annotated MS/MS	1064000	Annotated MS/MS
-2394	Chimeric MS/MS	1309000	Chimeric MS/MS
109	Chimeric MS/MS	1212000	Chimeric MS/MS
-2402	Chimeric MS/MS	1663000	Chimeric MS/MS
-2407	No MS/MS	2209000	No MS/MS
-2417	Chimeric MS/MS	2811000	Chimeric MS/MS
110	Chimeric MS/MS	1002000	Chimeric MS/MS
-2422	Chimeric MS/MS	4238000	Chimeric MS/MS
111	Chimeric MS/MS	2097000	Chimeric MS/MS
-2435	Chimeric MS/MS	1997000	Chimeric MS/MS
-2443	Unknown MS/MS	3197000	Unknown MS/MS
-2446	Unknown MS/MS	2229000	Unknown MS/MS
112	Chimeric MS/MS	1899000	Chimeric MS/MS
493	Annotated MS/MS	3395000	Annotated MS/MS
494	Annotated MS/MS	2929000	Annotated MS/MS
-2456	Unknown MS/MS	3402000	Unknown MS/MS
-2457	Chimeric MS/MS	2123000	Chimeric MS/MS
-2466	Chimeric MS/MS	1192000	Chimeric MS/MS
-2473	Unknown MS/MS	759300	Unknown MS/MS
-2488	Unknown MS/MS	1178000	Unknown MS/MS
495	Chimeric MS/MS	2773000	Chimeric MS/MS
-2490	Chimeric MS/MS	3834000	Chimeric MS/MS
113	Chimeric MS/MS	23780000	Chimeric MS/MS
118	Chimeric MS/MS	1601000	Chimeric MS/MS
-2502	Chimeric MS/MS	885100	Chimeric MS/MS
-2505	Chimeric MS/MS	1750000	Chimeric MS/MS
-2510	Chimeric MS/MS	1347000	Chimeric MS/MS
-2514	Chimeric MS/MS	1025000	Chimeric MS/MS
-2520	Chimeric MS/MS	3152000	Chimeric MS/MS
116	Annotated MS/MS	3916000	Annotated MS/MS
-2524	Chimeric MS/MS	1275000	Chimeric MS/MS
115	Unknown MS/MS	2839000	Unknown MS/MS
117	Unknown MS/MS	53390000	Unknown MS/MS
-2548	Chimeric MS/MS	2961000	Chimeric MS/MS
-2555	Unknown MS/MS	6579000	Unknown MS/MS
498	Unknown MS/MS	8251000	Unknown MS/MS
119	Annotated MS/MS	68710000	Annotated MS/MS
-2565	Chimeric MS/MS	2043000	Chimeric MS/MS
-2566	Unknown MS/MS	7316000	Unknown MS/MS
