id_number,rtime,mz,kp,interim_id,isotope,modification,ion_relation
12137,251.97819,250.954375775334,,,,,
12138,250.96422,350.243958204666,,,,,
12139,250.7736,335.160336249797,,,,,
12140,250.798704,652.243152249358,,,,,
12141,254.08218,140.001913078481,,,,,
12143,250.1931,172.096834167232,,,,,
12144,250.958316,325.070784492538,,,,,
12145,251.69088,343.081388220519,,,,,
12146,251.56476,186.007447745888,,,,,
12147,253.076964,187.045807735213,,,,,
12148,253.356288,200.971964497948,,,,,
12150,251.441058,315.064684805405,kp1287_314.0575,root@314.0575,M0,M+H+,"M0,M+H+"
12151,251.76999,241.060824979975,,,,,
12152,250.47429,182.031833087489,,,,,
12153,252.65751,146.019269206937,kp1278_143.0163,root@143.0163,34S 1,M+H+,"34S 1,M+H+"
12154,248.96274,344.181723534531,,,,,
12156,251.720238,410.192348467851,,,,,
12157,251.95998,237.1598260147,,,,,
12158,252.121122,247.107790535173,,,,,
12159,253.708422,144.023623008005,kp1278_143.0163,root@143.0163,M0,M+H+,"M0,M+H+"
12161,253.751538,155.974249142936,,,,,
12162,252.662976,247.144156637296,,,,,
12163,252.64632,309.174043724036,kp1294_306.1695,root@306.1695,37Cl 1,M+H+,"37Cl 1,M+H+"
12164,252.761478,234.148933308508,,,,,
12165,252.74046,358.197414815858,,,,,
12166,254.235222,214.00358223996,,,,,
12167,252.633678,183.023989329869,kp1288_182.0168,root@182.0168,M0,M+H+,"M0,M+H+"
12169,255.09132,285.932357394456,,,,,
12170,252.903102,222.168251598014,kp1289_220.1576,root@220.1576,13C 1,M+H+,"13C 1,M+H+"
12171,253.02807,221.164891004891,kp1289_220.1576,root@220.1576,M0,M+H+,"M0,M+H+"
12172,254.825676,165.050908408457,,,,,
12173,255.45462,222.001012502554,,,,,
12175,253.68804,215.066362786364,kp1292_213.0557,root@213.0557,13C 1,M+H+,"13C 1,M+H+"
12176,256.26198,166.051750090219,kp1291_165.0443,root@165.0443,M0,M+H+,"M0,M+H+"
12177,253.71588,124.024324055184,,,,,
12178,253.62642,216.060031001623,kp1292_213.0557,root@213.0557,37Cl 1,M+H+,"37Cl 1,M+H+"
12180,253.708962,214.06298372693,kp1292_213.0557,root@213.0557,M0,M+H+,"M0,M+H+"
12181,253.8105,175.034157840462,,,,,
12182,253.80924,278.031279186983,,,,,
12184,256.210842,195.005580939558,kp1293_194.0,root@194.0,M0,M+H+,"M0,M+H+"
12185,254.662602,172.018500930518,,,,,
12186,254.80362,199.001239503113,,,,,
12187,254.123952,377.228400668966,,,,,
12188,254.350662,310.173708413135,,,,,
12189,254.36466,229.162829560495,kp1290_227.1522,root@227.1522,13C 1,M+H+,"13C 1,M+H+"
12190,254.3613,302.159931921676,,,,,
12191,253.74672,365.170941380314,,,,,
12192,254.36817,210.148895300272,,,,,
12193,254.37396,288.191884228619,,,,,
12194,254.409144,228.159482819998,kp1290_227.1522,root@227.1522,M0,M+H+,"M0,M+H+"
