peak_id,rt,mz,intensity,homologue_id,within_series_id
14747,7.1346,739.12022,49150,366,5
14837,7.2172,768.47114,30840,366,6
14909,7.2968,797.82267,17770,366,7
29138,12.289,614.48382,4302,365,1
29641,12.5269,628.49819,12080,365,2
30361,12.8704,642.51342,142400,365,3
31265,13.2709,656.52893,51080,365,4
32492,13.7502,670.54464,6618,365,5
13961,6.3712,609.34906,15390,364,1
14027,6.4513,631.36229,19510,364,2
14121,6.5295,653.37527,25150,364,3
14180,6.5985,675.38835,22010,364,4
14235,6.6697,697.40131,21970,364,5
14309,6.7356,719.41446,11860,364,6
13975,6.3779,608.37802,14570,363,1
14049,6.4588,630.38983,20140,363,2
14113,6.5295,652.4028,17880,363,3
14189,6.5998,674.4152,18510,363,4
14243,6.6715,696.42855,20050,363,5
14313,6.7348,718.44136,18360,363,6
13001,5.159,595.37324,19290,362,1
13102,5.3198,639.39941,42880,362,2
13167,5.4651,683.42553,65410,362,3
13258,5.6041,727.4517,77900,362,4
13351,5.7314,771.47796,64940,362,5
13449,5.8513,815.50408,41550,362,6
13577,5.9686,859.53048,19510,362,7
13678,6.071,903.55689,10320,362,8
13814,6.2064,564.82122,20870,361,1
13966,6.3736,608.84749,41200,361,2
14119,6.5275,652.87355,40300,361,3
14245,6.6728,696.89969,31100,361,4
14392,6.7952,740.92587,13300,361,5
24850,10.8357,557.17276,31700,360,1
25523,11.0254,631.19197,105800,360,2
26408,11.2694,705.2111,268600,360,3
27498,11.6074,779.23024,338400,360,4
28665,12.0648,853.24947,324600,360,5
29910,12.68,927.26842,289600,360,6
31814,13.5104,1001.28764,242100,360,7
35172,14.6339,1075.30699,112500,360,8
13719,6.118,554.34612,10890,359,1
13822,6.2079,576.35924,17080,359,2
13900,6.2963,598.37227,21430,359,3
13973,6.377,620.38552,27590,359,4
14047,6.454,642.39864,20600,359,5
14129,6.5302,664.41227,19450,359,6
14195,6.6032,686.42608,13970,359,7
14246,6.6709,708.43932,16360,359,8
23395,10.6051,554.17609,8448,358,1
24660,10.8003,628.19492,39430,358,2
25512,11.0837,702.21355,22590,358,3
26949,11.4687,776.23238,33630,358,4
28315,11.9519,850.25127,22940,358,5
29625,12.5406,924.27013,14640,358,6
31067,13.2288,998.28901,3068,358,7
13707,6.1428,553.83024,50160,357,1
13887,6.2843,597.85645,51950,357,2
14001,6.4402,641.88258,93050,357,3
14159,6.5807,685.90874,51850,357,4
14300,6.7296,729.93482,47300,357,5
13710,6.1189,542.80818,16600,356,1
13911,6.2967,586.83425,31950,356,2
14034,6.4508,630.86042,41790,356,3
14186,6.6011,674.88655,39530,356,4
14314,6.7362,718.91278,23630,356,5
13748,6.1219,541.83741,32610,355,1
13841,6.215,563.84959,42290,355,2
13908,6.2978,585.86211,57480,355,3
13972,6.3775,607.87509,71230,355,4
14042,6.4528,629.88783,91760,355,5
14127,6.5299,651.90082,95050,355,6
14184,6.6011,673.91371,119900,355,7
14241,6.6697,695.92673,94860,355,8
14320,6.7362,717.93975,102400,355,9
14366,6.8006,739.95301,81650,355,10
14348,6.861,761.96616,31340,355,11
26068,11.1793,538.14477,13570,354,1
27088,11.4638,612.16369,138000,354,2
28099,11.873,686.18249,456000,354,3
29437,12.4291,760.201,502100,354,4
31043,13.1819,834.21824,414100,354,5
33815,14.2485,908.23845,351600,354,6
18189,9.5818,533.30873,9687,353,1
18843,9.8343,561.34015,40330,353,2
