Source,Target,clique
5378,5389,True
2085,2088,True
14317,14320,True
20464,20498,True
14528,14540,True
4640,4642,True
12079,12089,True
23467,23471,True
35415,35419,True
14609,14613,True
11861,11866,True
14653,14656,True
1711,1739,True
12992,12995,True
18131,18151,True
6261,6271,True
13855,13858,True
19930,19931,True
25910,25932,True
9897,9911,True
11356,11357,True
11594,11643,True
25456,25469,True
29124,29125,True
25516,25520,True
21674,21748,True
13586,13589,True
21183,21659,True
1681,1688,True
26325,26332,True
11348,11358,True
3332,3341,True
2919,2943,True
17820,17821,True
20476,20979,True
26110,26114,True
26390,26397,True
3624,3634,True
17532,17539,True
26040,26055,True
25523,25536,True
2886,2887,True
14320,14321,True
18126,18170,True
30566,30580,True
11348,11371,True
28458,28459,True
16407,16504,True
5071,5083,True
17047,17130,True
16159,16173,True
14612,14614,True
29592,29593,True
30559,30577,True
26390,26410,True
24843,24851,True
13061,13084,True
11605,11643,True
30983,30989,True
24854,24865,True
13829,13831,True
18148,18171,True
11370,11372,True
18570,18574,True
11354,11364,True
10276,10283,True
13323,13326,True
11363,11369,True
14183,14184,True
11602,11614,True
22990,22996,True
19382,19391,True
5026,5030,True
11366,11374,True
7213,7215,True
13316,13323,True
12569,12571,True
7187,7199,True
13035,13044,True
30577,30580,True
31043,31053,True
16126,16130,True
13142,13143,True
7829,7834,True
12861,12864,True
15032,15041,True
2563,2573,True
10362,10363,True
16982,16990,True
33099,33105,True
12293,12299,True
14574,14577,True
24522,24526,True
14013,14015,True
13452,13453,True
1935,1957,True
14016,14020,True
18994,18999,True
12566,12579,True
14586,14587,True
6957,6979,True
1620,1838,True
5668,5678,True
14009,14017,True
13000,13036,True
30356,30365,True
11358,11388,True
12070,12082,True
12990,12991,True
5081,5100,True
17691,17692,True
9895,9907,True
9482,9509,True
12082,12092,True
4944,4987,True
16638,16641,True
22653,22663,True
9904,9912,True
10836,10875,True
2127,2140,True
3028,3036,True
15796,15800,True
9907,9917,True
14375,14380,True
14655,14663,True
29115,29118,True
8870,8874,True
16930,16934,True
13322,13329,True
1972,1973,True
13920,13921,True
19119,19128,True
16992,16994,True
12543,12544,True
2762,2772,True
9382,9399,True
35539,35540,True
23631,23634,True
27409,27650,True
3363,3635,True
27522,27527,True
30314,30317,True
29113,29129,True
12536,12541,True
14817,14819,True
11615,11636,True
23624,23631,True
12835,12837,True
13676,13682,True
16446,16447,True
17454,17469,True
18147,18150,True
27515,27524,True
33602,33651,True
6148,6156,True
11589,11620,True
12081,12082,True
14488,14499,True
28904,28911,True
13987,13988,True
4490,4500,True
18140,18147,True
18159,18160,True
28667,28675,True
9282,9289,True
5674,5684,True
17528,17539,True
12373,12375,True
26149,26161,True
10072,10088,True
16825,16830,True
23461,23465,True
18151,18161,True
3817,3855,True
14606,14612,True
2761,2762,True
23457,23467,True
14615,14617,True
20733,20848,True
35405,35415,True
15179,15184,True
14378,14381,True
12957,12961,True
5801,5802,True
18140,18160,True
13583,13588,True
13063,13064,True
2126,2143,True
1864,1877,True
8632,8668,True
2784,2786,True
27141,27151,True
11364,11370,True
23631,23889,True
5667,5694,True
12454,12461,True
1778,1810,True
2777,2783,True
5597,5598,True
21379,21494,True
25587,25589,True
11357,11367,True
26406,26409,True
35254,35259,True
3640,3646,True
20277,20285,True
11700,11706,True
24956,24968,True
30568,30573,True
25520,25535,True
5029,5033,True
13949,13951,True
13993,13994,True
16444,16454,True
18111,18115,True
6165,6176,True
2765,2786,True
4038,4042,True
25314,25322,True
29221,29223,True
12864,12867,True
16437,16451,True
30361,30364,True
4674,4697,True
18176,18180,True
11187,11198,True
25532,25666,True
13137,13147,True
2760,2792,True
13720,13727,True
14060,14061,True
1742,1762,True
12903,12916,True
13262,13263,True
18983,19040,True
1826,1840,True
18243,18247,True
26023,26024,True
29911,29912,True
4057,4068,True
9366,9376,True
13258,13265,True
13557,13561,True
5068,5095,True
11597,11604,True
2516,3226,True
16629,16634,True
13320,13325,True
6051,6060,True
9351,9512,True
18500,18519,True
17457,17459,True
11340,11389,True
28009,28017,True
11611,11623,True
11375,11383,True
28592,28597,True
26143,26146,True
18574,18589,True
11604,11620,True
14484,14486,True
13324,13336,True
27513,27520,True
19664,19680,True
1700,1714,True
11367,11384,True
7179,7204,True
12867,12868,True
14247,14250,True
23634,23637,True
28666,28667,True
23618,23629,True
13730,13731,True
9907,9972,True
26409,26423,True
24988,25003,True
12072,12075,True
30316,30324,True
18131,18140,True
29906,29931,True
13461,13462,True
29222,29235,True
12645,12647,True
12084,12085,True
18143,18150,True
18110,18202,True
17396,17398,True
35019,35300,True
2567,2588,True
23452,23458,True
26143,26159,True
25642,25648,True
23455,23463,True
1936,1967,True
8749,8760,True
13239,13241,True
35311,35364,True
1663,1808,True
13560,13562,True
1630,1631,True
4620,4665,True
9888,9972,True
24837,24847,True
2140,2147,True
12992,12997,True
13231,13242,True
7666,7685,True
25523,25525,True
4285,4308,True
5558,5564,True
16086,16088,True
10773,10779,True
19353,19363,True
20774,20783,True
1855,1870,True
24873,24891,True
12083,12102,True
12496,12500,True
20276,20277,True
23240,23817,True
11594,11645,True
17975,17990,True
25516,25522,True
13627,13629,True
18126,18159,True
3288,3300,True
30566,30569,True
