Node,clique_id
2103,2199255_7
2121,2199265_7
2113,2199261_7
2109,2199251_5
2115,2199253_7
2126,2199274_8
2127,2199274_8
2124,2199250_8
2128,2199274_8
2141,2199251_5
2123,2199245_9
2129,2199251_5
2135,2199239_4
2138,2199245_9
2142,2199274_8
2133,2199265_7
2148,2199244_8
2145,2199249_8
2140,2199274_8
2137,2199274_8
2143,2199274_8
2147,2199274_8
2136,2199278_2
2150,2199278_2
2154,2199285_3
2155,2199286_3
2177,2199290_3
2171,2199289_3
2173,2199291_4
2185,2199312_3
2193,2199323_4
2183,2199309_4
2222,2199381_5
2214,2199363_3
2213,2199360_4
2694,2199387_3
2216,2199368_3
2191,2199318_3
2204,2199352_5
2195,2199323_4
2209,2199339_4
2845,2199368_3
2205,2199356_5
2232,2199406_4
2208,2199351_5
2197,2199328_4
2256,2199457_4
2198,2199333_3
2255,2199456_5
2254,2199453_5
2245,2199429_4
2250,2199440_5
2698,2199437_6
2199,2199339_4
2243,2199428_3
2226,2199387_3
2236,2199410_6
2816,2199501_4
2219,2199378_5
2926,2200930_4
2887,2200886_4
2899,2200901_5
2900,2199372_3
2892,2200886_4
2882,2200885_5
2885,2200885_5
2898,2200893_3
2906,2199370_3
2929,2200942_3
2886,2200886_4
2942,2200930_4
2260,2199439_6
2227,2199389_5
2301,2199435_4
2228,2199391_3
2266,2199470_5
2230,2199400_3
2259,2199452_5
2240,2199425_7
2677,2200616_6
2660,2200612_6
2672,2200616_6
2657,2200602_6
2659,2200612_6
2678,2200616_6
2658,2200601_6
2674,2200616_6
2625,2200594_3
2671,2200616_6
2652,2200609_6
2651,2200608_7
2246,2199432_5
2258,2199469_4
2840,2200825_6
2834,2200831_5
2830,2200825_6
2864,2200843_3
3548,2200831_5
3401,2200864_6
2855,2199468_6
2853,2200830_4
2858,2199469_4
2274,2199482_3
2357,2199589_9
2338,2199553_7
2894,2199626_7
2335,2199497_3
2327,2199514_3
2311,2199483_3
2282,2199484_3
2386,2199539_5
2312,2199514_3
2287,2199493_5
2289,2199495_3
2331,2199543_6
2350,2199564_7
2353,2199573_11
2304,2199512_7
2385,2199626_7
2374,2199626_7
2373,2199625_10
2376,2199619_11
2362,2199598_12
2404,2199626_7
2315,2199521_5
2316,2199524_6
2342,2199555_5
2375,2199621_12
2361,2199594_12
2389,2199633_4
2393,2199629_4
2396,2199627_5
2372,2199625_10
2391,2199625_10
2403,2199646_4
2401,2199588_7
2390,2199626_7
2379,2199629_4
2367,2199601_4
2409,2199646_4
2407,2199633_4
2397,2199624_11
2387,2199628_5
2802,2199595_4
2395,2199596_3
2399,2199625_10
2405,2199646_4
2418,2199647_3
2411,2199647_3
2410,2199629_4
2408,2199646_4
2425,2199647_3
2422,2199669_3
2434,2199669_3
2426,2199673_4
2437,2199669_3
2444,2199695_5
2461,2199776_5
2454,2199673_4
2456,2199767_5
2958,2199772_3
3226,2199976_3
2483,2199809_3
2451,2199761_7
3067,2201063_8
3160,2199704_3
3183,2199748_3
3128,2199758_10
3137,2199704_3
3083,2201094_4
3123,2201107_4
3122,2201110_3
3111,2201109_6
3109,2201109_6
3110,2201111_3
3135,2201101_6
3119,2201109_6
2987,2200974_3
3149,2201127_3
3061,2201060_8
3174,2199705_6
3117,2201109_6
3151,2201127_3
3100,2201105_6
3125,2199760_8
3131,2199750_4
3112,2201077_7
3107,2201097_3
3118,2201056_5
3108,2201109_6
3127,2201111_3
3085,2201097_3
3070,2201070_6
3066,2201070_6
3091,2201088_6
2455,2199765_3
2462,2199771_3
2459,2199772_3
2475,2199789_4
2488,2199829_5
2466,2199772_3
2474,2199786_4
2522,2200020_14
2516,2199976_3
2463,2199777_2
2464,2199777_2
2481,2199797_3
2487,2199825_10
2486,2199813_3
2480,2199794_3
2587,2200095_4
2549,2200051_13
2568,2200063_13
2560,2200019_14
2521,2199869_17
2578,2200063_13
2523,2200020_14
2537,2200042_4
2546,2200046_3
2494,2199809_3
2518,2199977_16
2556,2200063_13
2511,2199966_21
2563,2200063_13
2507,2199936_23
2508,2199948_15
2535,2200040_16
2509,2199963_15
2485,2199811_3
3029,2200046_3
2519,2200024_14
2555,2200061_13
2514,2199934_24
2544,2200012_15
2539,2200042_4
2538,2200040_16
2503,2199848_17
2517,2199966_21
2527,2199815_10
2531,2200017_16
2532,2200036_17
2545,2200049_4
2491,2199834_3
2548,2199968_3
2496,2199837_4
2533,2199834_3
2505,2199837_4
2512,2199968_3
2525,2200025_5
2547,2199967_3
2570,2200067_3
2551,2200063_13
2528,2199962_13
2588,2200063_13
2574,2200063_13
2559,2200063_13
2567,2200063_13
2515,2199971_14
2571,2200063_13
2573,2200063_13
2553,2200062_14
2530,2200032_18
2524,2200001_14
2534,2199925_26
2564,2200012_15
2583,2200055_9
2575,2200063_13
2602,2199968_3
2543,2199975_7
2580,2200095_4
2562,2200068_3
2566,2200042_4
2540,2200046_3
2541,2200048_8
2576,2200049_4
2572,2200063_13
2581,2200049_4
2585,2200049_4
2593,2200105_3
2582,2200068_3
